date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2017-12-08,0.2714,0.5962,down,115,0.8075,0.2901,46.0,neutro,neutro,continuacion,129.0
2017-12-19,0.3552,0.0018,down,15,0.9941,0.24,97.0,continuacion,continuacion,continuacion,30.0
2017-12-20,0.6237,0.0724,down,15,1.2007,0.2479,77.0,neutro,neutro,neutro,
2018-01-10,0.3163,0.5871,down,21,0.877,0.2036,6.0,continuacion,continuacion,continuacion,4.0
2018-01-19,0.2521,0.6683,down,22,0.8393,0.3917,112.0,neutro,neutro,neutro,
2018-01-25,0.3081,0.3666,down,20,0.8619,0.5618,82.0,neutro,neutro,continuacion,216.0
2018-02-01,0.4997,0.5369,up,25,0.9459,0.2315,32.0,continuacion,continuacion,continuacion,13.0
2018-02-06,2.65,0.8007,up,18,0.9271,0.2707,4.0,continuacion,continuacion,continuacion,1.0
2018-02-07,0.6766,0.4675,up,35,1.2388,0.3265,16.0,continuacion,continuacion,continuacion,31.0
2018-02-13,0.5903,0.5156,up,30,0.998,0.3593,32.0,continuacion,continuacion,continuacion,17.0
2018-02-14,0.6685,0.8021,up,18,1.7672,0.2065,6.0,continuacion,continuacion,continuacion,15.0
2018-02-15,0.5697,0.6022,up,20,0.9322,0.2132,11.0,falla,falla,falla,43.0
2018-02-16,0.491,0.5179,up,19,1.0713,0.2591,56.0,continuacion,continuacion,continuacion,29.0
2018-02-20,0.6153,0.7319,up,17,0.875,0.3569,45.0,continuacion,continuacion,continuacion,32.0
2018-02-21,0.3384,0.4813,up,18,0.8672,0.2338,63.0,continuacion,continuacion,continuacion,34.0
2018-02-23,0.2962,0.5519,down,19,0.8671,0.2105,43.0,falla,falla,falla,30.0
2018-02-27,0.2352,0.7225,down,22,0.7325,0.2299,12.0,falla,falla,falla,9.0
2018-02-28,0.3265,0.2178,down,16,1.0146,0.2133,73.0,continuacion,continuacion,continuacion,13.0
2018-03-01,1.0719,0.0388,down,23,0.9858,0.2114,4.0,continuacion,continuacion,continuacion,3.0
2018-03-05,0.3883,0.1404,down,19,1.5467,0.3029,35.0,falla,falla,falla,19.0
2018-03-06,0.3216,0.0203,down,15,0.8418,0.2259,77.0,continuacion,continuacion,continuacion,15.0
2018-03-07,0.6044,0.7327,up,54,0.4755,0.2861,44.0,falla,falla,falla,56.0
2018-03-15,0.2739,0.1277,up,30,0.5521,0.2563,50.0,neutro,falla,falla,87.0
2018-03-16,0.1985,0.0293,down,39,0.731,0.2031,21.0,continuacion,continuacion,continuacion,12.0
2018-03-20,0.2568,0.0442,down,20,2.0214,0.5254,90.0,neutro,neutro,falla,165.0
2018-03-22,0.3408,0.1444,down,15,1.5608,0.9112,104.0,neutro,falla,falla,61.0
