or_duration_min,franja_horaria,n,pct_up,mfe_avg_pct,mfe_med_pct,vol_ratio_avg,strength_avg
95,11:30-12:00,364,53.3,0.4706,0.3276,0.89,0.0175
95,12:00-12:30,205,53.2,0.5119,0.3557,0.86,0.0181
95,12:30-13:00,127,56.7,0.4388,0.2615,0.78,0.0139
95,13:00-13:30,95,56.8,0.5337,0.2249,0.78,0.0169
95,13:30-14:00,71,57.7,0.5029,0.2949,0.8,0.0031
95,14:00-14:30,70,50.0,0.4707,0.2513,0.88,0.0011
95,14:30-15:00,47,48.9,0.4395,0.2761,0.92,0.0185
95,15:00-15:30,89,58.4,0.1821,0.125,0.85,0.0205
100,11:00-11:30,864,57.4,0.5933,0.4006,0.9,0.0106
100,11:30-12:00,409,55.0,0.484,0.3341,0.89,0.0168
100,12:00-12:30,224,51.8,0.5027,0.3596,0.86,0.0184
100,12:30-13:00,134,58.2,0.433,0.2588,0.79,0.0145
100,13:00-13:30,103,58.3,0.5235,0.2249,0.77,0.0171
100,13:30-14:00,79,54.4,0.4852,0.2931,0.83,0.0062
100,14:00-14:30,76,48.7,0.4459,0.2299,0.9,0.0048
100,14:30-15:00,48,47.9,0.4305,0.2754,0.95,0.0168
100,15:00-15:30,100,59.0,0.1784,0.1223,0.85,0.0199
105,11:00-11:30,736,59.4,0.6012,0.4065,0.91,0.0109
105,11:30-12:00,460,54.3,0.4864,0.3433,0.9,0.0152
105,12:00-12:30,236,51.7,0.5163,0.3746,0.87,0.0188
105,12:30-13:00,140,58.6,0.4322,0.2588,0.79,0.0141
105,13:00-13:30,111,59.5,0.5091,0.2178,0.77,0.0162
105,13:30-14:00,85,54.1,0.4647,0.2633,0.82,0.0076
105,14:00-14:30,82,51.2,0.4267,0.2234,0.89,0.004
105,14:30-15:00,56,44.6,0.4291,0.2504,0.97,0.0193
105,15:00-15:30,110,57.3,0.1802,0.1223,0.86,0.0191
110,11:00-11:30,571,60.2,0.6122,0.4111,0.9,0.0088
110,11:30-12:00,541,54.3,0.4852,0.3447,0.9,0.0139
110,12:00-12:30,261,52.9,0.509,0.3613,0.86,0.0181
110,12:30-13:00,150,57.3,0.4456,0.2652,0.81,0.0138
110,13:00-13:30,118,56.8,0.53,0.2268,0.78,0.0166
110,13:30-14:00,87,55.2,0.4575,0.2636,0.83,0.0078
110,14:00-14:30,88,50.0,0.4372,0.2288,0.91,0.0058
110,14:30-15:00,59,44.1,0.4208,0.2661,0.99,0.0198
110,15:00-15:30,121,57.9,0.1803,0.12,0.86,0.0185
115,11:00-11:30,381,59.1,0.6245,0.4391,0.89,0.0071
115,11:30-12:00,646,56.2,0.4871,0.3496,0.9,0.0122
115,12:00-12:30,293,54.6,0.5149,0.3535,0.87,0.017
115,12:30-13:00,158,57.0,0.4362,0.2602,0.83,0.014
115,13:00-13:30,124,55.6,0.5189,0.2214,0.79,0.0174
115,13:30-14:00,96,55.2,0.482,0.294,0.83,0.008
115,14:00-14:30,92,50.0,0.4633,0.235,0.91,0.0062
115,14:30-15:00,63,42.9,0.4127,0.2454,0.99,0.0197
115,15:00-15:30,126,58.7,0.1768,0.1198,0.87,0.0172
120,11:30-12:00,955,57.2,0.5331,0.3755,0.91,0.0099
120,12:00-12:30,311,56.6,0.5132,0.3579,0.87,0.0176
120,12:30-13:00,167,56.9,0.4317,0.2589,0.83,0.015
120,13:00-13:30,128,55.5,0.5409,0.2296,0.79,0.0173
120,13:30-14:00,102,54.9,0.5055,0.2958,0.83,0.0071
120,14:00-14:30,95,50.5,0.457,0.234,0.93,0.0024
120,14:30-15:00,66,43.9,0.4048,0.2558,0.98,0.0202
120,15:00-15:30,136,57.4,0.1801,0.1198,0.89,0.0187
