date,or_duration_min,or_size_pct,or_close_position,breakout_dir,breakout_minute,breakout_strength,vol_ratio,mfe_pre_retest_pct,mins_to_retest,retest_speed,retest_depth_pct,outcome,mfe_post_pct,continuation_ratio,mins_to_continuation,mae_falla_pct,mins_to_falla
2021-04-30,50,0.5219,0.8404,up,53,0.142,0.8487,0.3125,16.0,0.019533,-2.2147,neutro,,,,,
2021-04-30,55,0.6138,0.9657,up,56,0.0575,0.8668,0.2209,11.0,0.020084,-7.6775,neutro,,,,,
2021-05-03,5,0.1861,0.1286,down,5,0.127,1.0685,0.2747,18.0,0.01526,-15.7143,falla,,,,0.2599,14.0
2021-05-03,20,0.462,0.2891,up,37,0.1538,1.1027,0.2273,15.0,0.015153,-10.3205,falla,,,,0.5218,31.0
2021-05-03,25,0.462,0.5519,up,37,0.1538,1.15,0.2273,15.0,0.015153,-10.3205,falla,,,,0.5218,31.0
2021-05-03,30,0.462,0.3596,up,37,0.1538,1.1932,0.2273,15.0,0.015153,-10.3205,falla,,,,0.5218,31.0
2021-05-03,35,0.462,0.6282,up,37,0.1538,1.1672,0.2273,15.0,0.015153,-10.3205,falla,,,,0.5218,31.0
2021-05-03,95,0.8427,0.0426,down,101,0.1756,1.1272,0.3915,34.0,0.011515,-5.6318,continuacion,0.3915,1.0,59.0,,
2021-05-03,100,0.8427,0.1232,down,101,0.1756,1.1372,0.3915,34.0,0.011515,-5.6318,continuacion,0.3915,1.0,59.0,,
2021-05-04,30,1.1883,0.0434,down,30,0.0,1.0157,0.3149,17.0,0.018523,-0.5101,continuacion,0.397,1.2608,31.0,,
2021-05-04,45,1.4864,0.1207,down,46,-0.1164,0.9681,0.2252,46.0,0.004896,0.7975,continuacion,0.2769,1.2294,4.0,,
2021-05-04,50,1.508,0.2236,down,78,0.0282,0.8878,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,55,1.508,0.2117,down,78,0.0282,0.9035,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,60,1.508,0.2601,down,78,0.0282,0.9145,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,65,1.508,0.0966,down,78,0.0282,0.916,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,70,1.508,0.2016,down,78,0.0282,0.9201,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,75,1.508,0.1028,down,78,0.0282,0.9299,0.204,14.0,0.014572,2.1976,continuacion,0.2557,1.2534,4.0,,
2021-05-04,95,1.7155,0.0906,down,96,0.0016,0.8321,0.3656,25.0,0.014623,-2.4685,continuacion,0.4384,1.1992,11.0,,
2021-05-04,100,1.7682,0.1122,down,102,0.0084,0.9482,0.314,17.0,0.018468,-2.4134,continuacion,0.3868,1.232,13.0,,
2021-05-04,105,1.9204,0.0208,down,105,0.0316,0.928,0.4213,53.0,0.007948,-1.4147,neutro,,,,,
2021-05-04,110,2.0541,0.0536,down,115,-0.0028,0.866,0.2907,35.0,0.008305,-2.2321,neutro,,,,,
2021-05-04,115,2.0541,0.0192,down,115,-0.0028,0.8704,0.2907,35.0,0.008305,-2.2321,neutro,,,,,
